Snapshot_Time,Direction,RTM,ADX,D1,FLOW,CRISIS,HighAlert,KILLER,MktPhase,MktRatio,Spike,SpikeScore,RTM_Arrow,ADX_Val,EffRatio_H4,Flow_Score,Trend_Score,D1_Status,Zombie_Zone,Regime,Session,Spread_Points,EURGBP_l_Rule
2026.01.07 04:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.695,Normal,1.015,UP,57.2,0.692,-2.00,-32.3,OK,1,Trending,Tokyo,20,Run
2026.01.07 05:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.695,Normal,0.668,UP,57.2,0.692,-2.00,-33.2,OK,1,Trending,Tokyo,15,Run
2026.01.07 06:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.695,Normal,0.759,UP,57.2,0.692,-2.00,-32.7,OK,1,Trending,Tokyo,15,Run
2026.01.07 07:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.695,Normal,0.743,UP,57.9,0.668,-2.00,-32.8,OK,1,Trending,Tokyo,17,Run
2026.01.07 08:00,SELL,Yellow,Green,Green,Yellow,Green,OK,Green,Range,0.695,Normal,0.866,FL,57.9,0.668,-2.00,-32.6,OK,1,Trending,Tokyo-London,15,Run
2026.01.07 09:00,SELL,Red,Green,Green,Yellow,Green,OK,Green,Range,0.695,Normal,1.254,DN,57.9,0.668,-2.00,-28.9,OK,1,Trending,London,17,Run
2026.01.07 10:00,SELL,Red,Green,Green,Yellow,Green,OK,Green,Range,0.695,Normal,0.788,DN,57.9,0.668,-2.00,-29.0,OK,1,Trending,London,15,Run
2026.01.07 11:00,SELL,Red,Green,Green,Yellow,Green,OK,Green,Range,0.695,Normal,0.802,DN,55.6,0.643,-2.00,-29.5,OK,1,Trending,London,15,Run
2026.01.07 12:00,SELL,Red,Green,Green,Yellow,Green,OK,Green,Range,0.695,Normal,1.020,DN,55.6,0.643,-2.00,-27.7,OK,1,Trending,London,18,Run
2026.01.07 13:00,SELL,Yellow,Green,Green,Yellow,Green,OK,Green,Range,0.695,Normal,0.745,DN,55.6,0.643,-2.00,-28.8,OK,1,Trending,London-NewYork,15,Run
2026.01.07 14:00,SELL,Red,Green,Green,Yellow,Green,OK,Green,Range,0.695,Normal,1.280,DN,55.6,0.643,-2.00,-22.8,OK,1,Trending,London-NewYork,15,Run
2026.01.07 15:00,SELL,Red,Green,Green,Yellow,Green,OK,Green,Range,0.695,Normal,1.104,DN,50.9,0.503,-2.00,-22.2,OK,1,Trending,London-NewYork,16,Run
2026.01.07 16:00,SELL,Yellow,Green,Green,Yellow,Green,OK,Green,Range,0.695,Normal,1.218,FL,50.9,0.503,-2.00,-25.1,OK,1,Trending,London-NewYork,16,Run
2026.01.07 17:00,SELL,Red,Green,Green,Yellow,Green,OK,Green,Range,0.695,Warning,2.051,DN,50.9,0.503,-2.00,-10.6,OK,1,Trending,New York,32,Run
2026.01.07 18:00,SELL,Red,Green,Green,Yellow,Green,OK,Green,Range,0.695,Normal,1.202,DN,50.9,0.503,-2.00,-4.1,OK,1,Trending,New York,16,Run
2026.01.07 19:00,SELL,Green,Yellow,Green,Yellow,Green,OK,Green,Range,0.695,Normal,1.123,UP,46.0,0.210,-2.00,-9.8,OK,1,Trending,New York,16,Run
2026.01.07 20:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,Green,Range,0.695,Normal,1.121,FL,46.0,0.210,-2.00,-13.4,OK,1,Trending,New York,17,Run
2026.01.07 21:00,SELL,Red,Yellow,Green,Yellow,Green,OK,Green,Range,0.695,Normal,1.199,DN,46.0,0.210,-2.00,-9.9,OK,1,Trending,New York,19,Run
2026.01.07 22:00,SELL,Green,Yellow,Green,Yellow,Green,OK,Green,Range,0.695,Normal,0.966,UP,46.0,0.210,-2.00,-13.3,OK,1,Trending,Off-Hours,15,Run
2026.01.07 23:00,SELL,Green,Yellow,Green,Yellow,Green,OK,Green,Range,0.734,Normal,0.888,UP,41.7,0.068,+0.00,-16.8,OK,1,Trending,Off-Hours,18,Run
2026.01.08 00:00,SELL,Red,Yellow,Green,Yellow,Green,OK,Green,Range,0.734,Normal,1.127,DN,41.7,0.068,+0.00,-13.9,OK,1,Trending,Tokyo,38,Run
2026.01.08 01:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,Green,Range,0.734,Normal,0.691,FL,41.7,0.068,+0.00,-14.0,OK,1,Trending,Tokyo,25,Run
2026.01.08 02:00,SELL,Green,Yellow,Green,Yellow,Green,OK,Green,Range,0.734,Normal,0.975,UP,41.7,0.068,+0.00,-16.5,OK,1,Trending,Tokyo,17,Run
2026.01.08 03:00,SELL,Yellow,Green,Green,Yellow,Yellow,OK,Green,Range,0.734,Normal,1.195,FL,37.2,0.441,-3.00,-15.9,OK,1,Trending,Tokyo,19,Run
2026.01.08 04:00,SELL,Red,Green,Green,Yellow,Yellow,OK,Green,Range,0.734,Normal,1.731,DN,37.2,0.441,-3.00,-10.6,OK,1,Trending,Tokyo,20,Run
2026.01.08 05:00,SELL,Green,Green,Green,Yellow,Yellow,OK,Green,Range,0.734,Normal,1.349,UP,37.2,0.441,-3.00,-18.8,OK,1,Trending,Tokyo,20,Run
2026.01.08 06:00,SELL,Yellow,Green,Green,Yellow,Yellow,OK,Green,Range,0.734,Normal,1.252,DN,37.2,0.441,-3.00,-15.5,OK,1,Trending,Tokyo,16,Run
2026.01.08 07:00,SELL,Yellow,Yellow,Green,Yellow,Yellow,OK,Green,Range,0.734,Normal,1.257,FL,34.8,0.535,-3.00,-12.0,OK,1,Trending,Tokyo,15,Run
2026.01.08 08:00,SELL,Green,Yellow,Green,Yellow,Yellow,OK,Green,Range,0.734,Normal,1.182,UP,34.8,0.535,-3.00,-15.8,OK,1,Trending,Tokyo-London,18,Run
2026.01.08 09:00,SELL,Red,Yellow,Green,Yellow,Yellow,OK,Green,Range,0.734,Normal,1.799,DN,34.8,0.535,-3.00,-6.1,OK,1,Trending,London,17,Run
2026.01.08 10:00,SELL,Yellow,Yellow,Green,Yellow,Yellow,OK,Green,Range,0.734,Normal,1.267,FL,34.8,0.535,-3.00,-8.4,OK,1,Trending,London,18,Run
2026.01.08 11:00,SELL,Red,Red,Green,Yellow,Yellow,OK,Green,Range,0.734,Warning,2.192,DN,35.2,0.603,-3.00,-2.5,OK,1,Trending,London,15,Run
2026.01.08 12:00,SELL,Green,Red,Green,Yellow,Yellow,OK,Green,Range,0.734,Normal,1.595,UP,35.2,0.603,-3.00,-10.3,OK,1,Trending,London,17,Run
2026.01.08 13:00,SELL,Yellow,Red,Green,Yellow,Yellow,OK,Green,Range,0.734,Normal,1.326,FL,35.2,0.603,-3.00,-10.3,OK,1,Trending,London-NewYork,17,Run
2026.01.08 14:00,SELL,Yellow,Red,Green,Yellow,Yellow,OK,Green,Range,0.734,Normal,1.465,FL,35.2,0.603,-3.00,-10.1,OK,1,Trending,London-NewYork,16,Run
2026.01.08 15:00,SELL,Red,Red,Green,Yellow,Yellow,OK,Green,Range,0.734,Normal,1.692,DN,36.0,0.579,-1.00,-7.9,OK,1,Trending,London-NewYork,17,Run
2026.01.08 16:00,SELL,Green,Red,Green,Yellow,Green,OK,Green,Range,0.734,Normal,1.578,UP,36.0,0.579,-1.00,-19.5,OK,1,Trending,London-NewYork,16,Run
2026.01.08 17:00,SELL,Green,Red,Green,Yellow,Green,OK,Green,Range,0.734,Normal,1.209,UP,36.0,0.579,-1.00,-23.5,OK,1,Trending,New York,18,Run
2026.01.08 18:00,SELL,Green,Red,Green,Yellow,Green,OK,Green,Range,0.734,Normal,1.042,FL,36.0,0.579,-1.00,-25.4,OK,1,Trending,New York,16,Run
2026.01.08 19:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.734,Warning,2.321,UP,32.9,0.252,+2.00,-35.9,OK,1,Trending,New York,17,Run
2026.01.08 20:00,SELL,Red,Green,Green,Yellow,Green,OK,Green,Range,0.734,Normal,1.749,DN,32.9,0.252,+2.00,-27.9,OK,1,Trending,New York,17,Run
2026.01.08 21:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.734,Normal,1.790,UP,32.9,0.252,+2.00,-30.3,OK,1,Trending,New York,19,Run
2026.01.08 22:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.734,Warning,2.031,UP,32.9,0.252,+2.00,-34.4,OK,1,Trending,Off-Hours,17,Run
2026.01.08 23:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,Green,Range,0.759,Normal,0.723,DN,30.1,0.211,+1.12,-32.2,OK,1,Trending,Off-Hours,19,Run
2026.01.09 00:00,SELL,Red,Yellow,Green,Yellow,Green,OK,Green,Range,0.759,Normal,0.711,DN,30.1,0.211,+1.12,-26.1,OK,1,Trending,Tokyo,75,Run
2026.01.09 01:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,Green,Range,0.759,Normal,0.554,FL,30.1,0.211,+1.12,-24.6,OK,1,Trending,Tokyo,42,Run
2026.01.09 02:00,SELL,Green,Yellow,Green,Yellow,Green,OK,Green,Range,0.759,Normal,0.528,UP,30.1,0.211,+1.12,-26.0,OK,1,Trending,Tokyo,20,Run
2026.01.09 03:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,Green,Range,0.759,Normal,0.738,FL,28.9,0.219,-2.00,-26.7,OK,1,Trending,Tokyo,17,Run
2026.01.09 04:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,Green,Range,0.759,Normal,1.044,FL,28.9,0.219,-2.00,-25.0,OK,1,Trending,Tokyo,15,Run
2026.01.09 05:00,SELL,Green,Yellow,Green,Yellow,Green,OK,Green,Range,0.759,Normal,0.875,UP,28.9,0.219,-2.00,-27.1,OK,1,Trending,Tokyo,17,Run
2026.01.09 06:00,SELL,Green,Yellow,Green,Yellow,Green,OK,Green,Range,0.759,Normal,0.833,UP,28.9,0.219,-2.00,-28.2,OK,1,Trending,Tokyo,15,Run
2026.01.09 07:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,Green,Range,0.759,Normal,0.759,FL,27.9,0.291,-2.00,-26.2,OK,1,Trending,Tokyo,15,Run
2026.01.09 08:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,Green,Range,0.759,Normal,0.584,FL,27.9,0.291,-2.00,-26.4,OK,1,Trending,Tokyo-London,17,Run
2026.01.09 09:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,Green,Range,0.759,Normal,1.001,FL,27.9,0.291,-2.00,-25.7,OK,1,Trending,London,19,Run
2026.01.09 10:00,SELL,Red,Yellow,Green,Yellow,Green,OK,Green,Range,0.759,Normal,1.552,DN,27.9,0.291,-2.00,-12.9,OK,1,Trending,London,16,Run
2026.01.09 11:00,SELL,Green,Yellow,Green,Yellow,Green,OK,Green,Range,0.759,Normal,1.362,UP,29.5,0.328,-2.00,-17.2,OK,1,Trending,London,15,Run
2026.01.09 12:00,SELL,Red,Yellow,Green,Yellow,Green,OK,Green,Range,0.759,Normal,1.651,DN,29.5,0.328,+0.00,-11.0,OK,1,Trending,London,18,Run
2026.01.09 13:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,Green,Range,0.759,Normal,1.358,UP,29.5,0.328,+0.00,-17.7,OK,1,Trending,London-NewYork,17,Run
2026.01.09 14:00,SELL,Green,Yellow,Green,Yellow,Green,OK,Green,Range,0.759,Normal,1.804,UP,29.5,0.328,+0.00,-30.2,OK,1,Trending,London-NewYork,18,Run
2026.01.09 15:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.759,Normal,1.617,UP,29.1,0.147,+0.00,-40.8,OK,1,Trending,London-NewYork,18,Run
2026.01.09 16:00,SELL,Red,Green,Green,Yellow,Green,OK,Green,Range,0.759,Normal,1.411,DN,29.1,0.147,+2.00,-28.3,OK,1,Trending,London-NewYork,15,Run
2026.01.09 17:00,SELL,Yellow,Green,Green,Yellow,Green,OK,Green,Range,0.759,Normal,1.292,FL,29.1,0.147,+2.00,-26.9,OK,1,Trending,New York,37,Run
2026.01.09 18:00,SELL,Yellow,Green,Green,Yellow,Green,OK,Green,Range,0.759,Normal,1.136,FL,29.1,0.147,+2.00,-27.8,OK,1,Trending,New York,16,Run
2026.01.09 19:00,SELL,Red,Yellow,Green,Yellow,Green,OK,Green,Range,0.759,Normal,1.155,DN,28.8,0.233,+0.00,-22.0,OK,1,Trending,New York,15,Run
2026.01.09 20:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,Green,Range,0.759,Normal,0.660,FL,28.8,0.233,+0.00,-22.7,OK,1,Trending,New York,16,Run
2026.01.09 21:00,SELL,Yellow,Yellow,Green,Yellow,Green,OK,Green,Range,0.759,Normal,0.664,FL,28.8,0.233,+0.00,-23.1,OK,1,Trending,New York,18,Run
