Time;Open;High;Low;Close;TickVolume;RealVolume;Spread;AskClose
2026.01.14 02:00:00;0.867050;0.867180;0.866980;0.867020;1824;0;13;0.867150
2026.01.14 03:00:00;0.867020;0.867090;0.866820;0.866950;2202;0;14;0.867090
2026.01.14 04:00:00;0.866950;0.866990;0.866440;0.866520;1986;0;13;0.866650
2026.01.14 05:00:00;0.866510;0.866520;0.866100;0.866180;1616;0;14;0.866320
2026.01.14 06:00:00;0.866180;0.866340;0.866110;0.866300;1215;0;15;0.866450
2026.01.14 07:00:00;0.866300;0.866440;0.866180;0.866440;1683;0;15;0.866590
2026.01.14 08:00:00;0.866440;0.866780;0.866140;0.866210;1738;0;13;0.866340
2026.01.14 09:00:00;0.866210;0.866530;0.866090;0.866470;1682;0;13;0.866600
2026.01.14 10:00:00;0.866470;0.866500;0.865840;0.865910;3178;0;12;0.866030
2026.01.14 11:00:00;0.865910;0.866130;0.865650;0.865760;2329;0;13;0.865890
2026.01.14 12:00:00;0.865760;0.866360;0.865610;0.866210;2215;0;12;0.866330
2026.01.14 13:00:00;0.866210;0.866340;0.865700;0.865900;1918;0;12;0.866020
2026.01.14 14:00:00;0.865900;0.866740;0.865740;0.866670;2491;0;12;0.866790
2026.01.14 15:00:00;0.866670;0.866820;0.866090;0.866430;3077;0;12;0.866550
2026.01.14 16:00:00;0.866430;0.866450;0.865750;0.866110;3841;0;13;0.866240
2026.01.14 17:00:00;0.866110;0.866570;0.865910;0.866430;4084;0;12;0.866550
2026.01.14 18:00:00;0.866440;0.867000;0.866350;0.866840;2695;0;13;0.866970
2026.01.14 19:00:00;0.866850;0.867250;0.866820;0.867000;2561;0;12;0.867120
2026.01.14 20:00:00;0.867000;0.867110;0.866660;0.866690;2022;0;12;0.866810
2026.01.14 21:00:00;0.866690;0.866760;0.866270;0.866280;1833;0;13;0.866410
2026.01.14 22:00:00;0.866290;0.866780;0.866290;0.866690;2422;0;12;0.866810
2026.01.14 23:00:00;0.866680;0.866680;0.865820;0.865870;1584;0;13;0.866000
2026.01.15 00:00:00;0.865750;0.866350;0.865750;0.866100;1013;0;22;0.866320
2026.01.15 01:00:00;0.866100;0.866500;0.865980;0.866330;1476;0;12;0.866450
2026.01.15 02:00:00;0.866330;0.866540;0.865960;0.865970;1677;0;13;0.866100
2026.01.15 03:00:00;0.865970;0.866420;0.865970;0.866170;3146;0;13;0.866300
2026.01.15 04:00:00;0.866170;0.866560;0.866160;0.866420;2214;0;14;0.866560
2026.01.15 05:00:00;0.866420;0.866780;0.866390;0.866680;1694;0;15;0.866830
2026.01.15 06:00:00;0.866680;0.866720;0.866540;0.866600;1351;0;15;0.866750
2026.01.15 07:00:00;0.866600;0.866630;0.866250;0.866470;2101;0;14;0.866610
2026.01.15 08:00:00;0.866470;0.866480;0.866090;0.866270;2412;0;14;0.866410
2026.01.15 09:00:00;0.866250;0.866250;0.865380;0.865500;2272;0;12;0.865620
2026.01.15 10:00:00;0.865500;0.866030;0.865250;0.865380;2318;0;13;0.865510
2026.01.15 11:00:00;0.865380;0.865910;0.865220;0.865890;2389;0;12;0.866010
2026.01.15 12:00:00;0.865890;0.867220;0.865830;0.866950;2101;0;13;0.867080
2026.01.15 13:00:00;0.866940;0.866960;0.866520;0.866710;1796;0;12;0.866830
2026.01.15 14:00:00;0.866720;0.867310;0.866670;0.867040;1943;0;12;0.867160
2026.01.15 15:00:00;0.867040;0.867800;0.866970;0.867430;4199;0;12;0.867550
2026.01.15 16:00:00;0.867430;0.867610;0.867190;0.867540;3927;0;12;0.867660
2026.01.15 17:00:00;0.867540;0.867590;0.866610;0.866650;3774;0;12;0.866770
2026.01.15 18:00:00;0.866650;0.867070;0.866620;0.866900;2848;0;12;0.867020
2026.01.15 19:00:00;0.866900;0.867280;0.866820;0.867060;2352;0;13;0.867190
2026.01.15 20:00:00;0.867050;0.867330;0.866960;0.867200;2002;0;13;0.867330
2026.01.15 21:00:00;0.867200;0.867590;0.867200;0.867530;2154;0;12;0.867650
2026.01.15 22:00:00;0.867530;0.867790;0.867360;0.867460;1804;0;12;0.867580
2026.01.15 23:00:00;0.867460;0.867600;0.867270;0.867270;1355;0;15;0.867420
2026.01.16 00:00:00;0.867220;0.867660;0.867200;0.867260;656;0;26;0.867520
2026.01.16 01:00:00;0.867240;0.867600;0.867100;0.867480;1752;0;12;0.867600
2026.01.16 02:00:00;0.867480;0.867910;0.867290;0.867370;2145;0;12;0.867490
2026.01.16 03:00:00;0.867370;0.867450;0.867140;0.867410;2039;0;13;0.867540
2026.01.16 04:00:00;0.867400;0.867530;0.867190;0.867330;2532;0;13;0.867460
2026.01.16 05:00:00;0.867330;0.867400;0.867030;0.867080;1838;0;14;0.867220
2026.01.16 06:00:00;0.867090;0.867200;0.867060;0.867110;1245;0;13;0.867240
2026.01.16 07:00:00;0.867110;0.867310;0.867020;0.867180;1275;0;13;0.867310
2026.01.16 08:00:00;0.867180;0.867590;0.867170;0.867560;1524;0;14;0.867700
2026.01.16 09:00:00;0.867560;0.867730;0.867010;0.867090;1955;0;13;0.867220
2026.01.16 10:00:00;0.867100;0.867100;0.866590;0.866710;2149;0;13;0.866840
2026.01.16 11:00:00;0.866710;0.866890;0.866070;0.866390;1894;0;12;0.866510
2026.01.16 12:00:00;0.866390;0.866470;0.865980;0.866200;1896;0;12;0.866320
2026.01.16 13:00:00;0.866200;0.866740;0.866160;0.866520;1806;0;14;0.866660
2026.01.16 14:00:00;0.866520;0.867080;0.866520;0.866990;2285;0;12;0.867110
2026.01.16 15:00:00;0.866990;0.867280;0.866450;0.866740;2894;0;12;0.866860
2026.01.16 16:00:00;0.866740;0.867140;0.866410;0.867070;2758;0;13;0.867200
2026.01.16 17:00:00;0.867070;0.867570;0.866380;0.866530;5538;0;12;0.866650
2026.01.16 18:00:00;0.866530;0.866830;0.866330;0.866640;3338;0;12;0.866760
2026.01.16 19:00:00;0.866640;0.866950;0.866400;0.866640;2109;0;13;0.866770
2026.01.16 20:00:00;0.866640;0.866750;0.866310;0.866560;1717;0;13;0.866690
